28728040000.000000,14340060000.000000,12752040000.000000,12916836000000.000000,5731243980000.000000,3819235980000.000000,3820824000000.000000
91987272000.000000,46511388000.000000,41873832000.000000,55157846400000.000000,24790569804000.000000,16728595884000.000000,16943184720000.000000
65710301908.000000,29134886892.000000,23006888151.000000,37430536076806.000000,14751924796144.000000,8730938517712.000000,7756312823341.000000
1866868185039.000000,939165319612.000000,840573931181.000000,2379585633704319.000000,1064096480693102.000000,714071209903870.000000,719004410709051.000000
28725100937.000000,14337908348.000000,12750447275.000000,12916116434745.000000,5730722031242.000000,3818852489010.000000,3820539279867.000000
126326899720.000000,75727608060.000000,80812654520.000000,78591093933400.000000,41877367257180.000000,33496845298540.000000,40214374368480.000000
243888239538.000000,121819673713.000000,108303135176.000000,187206814351870.000000,83121234457061.000000,55409562249837.000000,55425911690504.000000
28713610927.000000,14324713411.000000,12734649353.000000,12912647263043.000000,5726831460635.000000,3814363803745.000000,3815182680135.000000
592100464640.000000,293967815680.000000,259721369600.000000,568194321612800.000000,250754546775040.000000,166091815859200.000000,165085338091520.000000
77158481920.000000,38528974848.000000,34259140608.000000,44414332305408.000000,19713992130560.000000,13138380423168.000000,13142650257408.000000
